Date,GEXPND_GDP
7/1/2000,0.294596081
10/1/2000,0.29578749
1/1/2001,0.301729162
4/1/2001,0.303568412
7/1/2001,0.306775274
10/1/2001,0.308591489
1/1/2002,0.310770221
4/1/2002,0.312030057
7/1/2002,0.312571603
10/1/2002,0.316381042
1/1/2003,0.31902059
4/1/2003,0.320312918
7/1/2003,0.315446889
10/1/2003,0.313096091
1/1/2004,0.315900051
4/1/2004,0.313164594
7/1/2004,0.312061359
10/1/2004,0.3118618
1/1/2005,0.313369124
4/1/2005,0.313650511
7/1/2005,0.312407645
10/1/2005,0.314885501
1/1/2006,0.312068797
4/1/2006,0.313163037
7/1/2006,0.314642564
10/1/2006,0.312712667
1/1/2007,0.318874617
4/1/2007,0.317974452
7/1/2007,0.317564984
10/1/2007,0.320484329
1/1/2008,0.326491657
4/1/2008,0.347860686
7/1/2008,0.338196209
10/1/2008,0.340474285
1/1/2009,0.351710894
4/1/2009,0.370110536
7/1/2009,0.372355952
10/1/2009,0.369361515
1/1/2010,0.376266375
4/1/2010,0.371297241
7/1/2010,0.369131209
10/1/2010,0.368432967
1/1/2011,0.369314963
4/1/2011,0.366931637
7/1/2011,0.360525274
10/1/2011,0.356928071
1/1/2012,0.35277056
4/1/2012,0.350932938
7/1/2012,0.347396909
10/1/2012,0.350085883
1/1/2013,0.344436685
4/1/2013,0.344525574
7/1/2013,0.34134471
10/1/2013,0.337206802
1/1/2014,0.340405201
4/1/2014,0.336976004
7/1/2014,0.335140743
10/1/2014,0.333410115
1/1/2015,0.331796549
4/1/2015,0.33363044
7/1/2015,0.334739996
10/1/2015,0.333333551
1/1/2016,0.335288414
4/1/2016,0.333653045
7/1/2016,0.334287004
10/1/2016,0.333441241
1/1/2017,0.333338152
4/1/2017,0.329364094
7/1/2017,0.328734106
10/1/2017,0.330270446
1/1/2018,0.329990644
4/1/2018,0.328071131
7/1/2018,0.327658735
10/1/2018,0.328673472
