Date,ManufacturingConfidence
12/1/1977,100.9127189
1/1/1978,100.8339069
2/1/1978,100.6733528
3/1/1978,100.6678822
4/1/1978,100.9346318
5/1/1978,101.2880676
6/1/1978,101.5385912
7/1/1978,101.6625806
8/1/1978,101.6146841
9/1/1978,101.5597953
10/1/1978,101.5231067
11/1/1978,101.4868771
12/1/1978,101.3433637
1/1/1979,101.1823204
2/1/1979,101.0366694
3/1/1979,100.8550916
4/1/1979,100.5848617
5/1/1979,100.2487293
6/1/1979,99.90106347
7/1/1979,99.58708124
8/1/1979,99.33454918
9/1/1979,99.17461841
10/1/1979,99.01745323
11/1/1979,98.83310096
12/1/1979,98.68302257
1/1/1980,98.69505422
2/1/1980,98.54343493
3/1/1980,97.72992216
4/1/1980,96.57297432
5/1/1980,95.63928415
6/1/1980,95.60250345
7/1/1980,96.50180668
8/1/1980,97.96712337
9/1/1980,99.30397174
10/1/1980,100.2267457
11/1/1980,100.4850644
12/1/1980,100.0717082
1/1/1981,99.52965586
2/1/1981,99.27660811
3/1/1981,99.35135489
4/1/1981,99.58306679
5/1/1981,99.68406095
6/1/1981,99.43687077
7/1/1981,98.99109433
8/1/1981,98.52429027
9/1/1981,97.85019095
10/1/1981,97.22053178
11/1/1981,96.78468383
12/1/1981,96.69583586
1/1/1982,96.73021815
2/1/1982,96.73191481
3/1/1982,96.66223784
4/1/1982,96.61896952
5/1/1982,96.59195321
6/1/1982,96.71575243
7/1/1982,96.81506833
8/1/1982,96.86723472
9/1/1982,96.92384131
10/1/1982,97.03762817
11/1/1982,97.31057462
12/1/1982,97.90574684
1/1/1983,98.73247321
2/1/1983,99.60497912
3/1/1983,100.0857112
4/1/1983,100.3717144
5/1/1983,100.7092042
6/1/1983,101.1703812
7/1/1983,101.7137833
8/1/1983,102.0162563
9/1/1983,102.2068358
10/1/1983,102.4595783
11/1/1983,102.6773477
12/1/1983,102.6369154
1/1/1984,102.1062159
2/1/1984,101.7014032
3/1/1984,101.4492772
4/1/1984,101.3596081
5/1/1984,101.1747255
6/1/1984,100.8989073
7/1/1984,100.4807251
8/1/1984,99.98416616
9/1/1984,99.5880348
10/1/1984,99.43339925
11/1/1984,99.39155068
12/1/1984,99.38615146
1/1/1985,99.33038826
2/1/1985,99.19518853
3/1/1985,99.00216644
4/1/1985,98.87506631
5/1/1985,98.79306397
6/1/1985,98.80162317
7/1/1985,98.86416809
8/1/1985,99.00009767
9/1/1985,99.24317976
10/1/1985,99.46374344
11/1/1985,99.58625664
12/1/1985,99.57815338
1/1/1986,99.55765042
2/1/1986,99.52964246
3/1/1986,99.51090053
4/1/1986,99.51620174
5/1/1986,99.57707129
6/1/1986,99.46427311
7/1/1986,99.40168637
8/1/1986,99.57187032
9/1/1986,99.65517394
10/1/1986,99.62274977
11/1/1986,99.61137213
12/1/1986,99.70459231
1/1/1987,99.9441162
2/1/1987,100.0900106
3/1/1987,100.3024987
4/1/1987,100.5144673
5/1/1987,100.7215161
6/1/1987,100.874685
7/1/1987,101.0293692
8/1/1987,101.2340289
9/1/1987,101.396444
10/1/1987,101.4559578
11/1/1987,101.388575
12/1/1987,101.2730817
1/1/1988,100.9605862
2/1/1988,100.650672
3/1/1988,100.4710253
4/1/1988,100.5151411
5/1/1988,100.6869445
6/1/1988,100.9079441
7/1/1988,100.8826113
8/1/1988,100.6730657
9/1/1988,100.4940781
10/1/1988,100.4619562
11/1/1988,100.4803854
12/1/1988,100.4610019
1/1/1989,100.3259028
2/1/1989,100.1107862
3/1/1989,99.827842
4/1/1989,99.55523403
5/1/1989,99.17562807
6/1/1989,98.79537345
7/1/1989,98.51687561
8/1/1989,98.40006906
9/1/1989,98.44776808
10/1/1989,98.55496062
11/1/1989,98.64956099
12/1/1989,98.75273
1/1/1990,98.8842746
2/1/1990,99.08511331
3/1/1990,99.24385353
4/1/1990,99.29379533
5/1/1990,99.22170393
6/1/1990,99.03880695
7/1/1990,98.74819045
8/1/1990,98.46487859
9/1/1990,98.16203407
10/1/1990,97.84957449
11/1/1990,97.54199165
12/1/1990,97.29860297
1/1/1991,97.13329185
2/1/1991,97.15320086
3/1/1991,97.38901759
4/1/1991,97.81694382
5/1/1991,98.3950868
6/1/1991,99.0752538
7/1/1991,99.58077352
8/1/1991,99.94079585
9/1/1991,100.0475894
10/1/1991,99.77811809
11/1/1991,99.30602917
12/1/1991,98.99422112
1/1/1992,99.11312559
2/1/1992,99.58716021
3/1/1992,99.98051955
4/1/1992,100.1538509
5/1/1992,100.2687377
6/1/1992,100.1955861
7/1/1992,100.0478501
8/1/1992,99.81546226
9/1/1992,99.57538717
10/1/1992,99.61931361
11/1/1992,99.9189837
12/1/1992,100.207901
1/1/1993,100.3726499
2/1/1993,100.2896133
3/1/1993,99.99524854
4/1/1993,99.64348986
5/1/1993,99.44414849
6/1/1993,99.32368175
7/1/1993,99.33392518
8/1/1993,99.437534
9/1/1993,99.62337419
10/1/1993,99.90760901
11/1/1993,100.168798
12/1/1993,100.4080781
1/1/1994,100.5717314
2/1/1994,100.6888079
3/1/1994,100.7912292
4/1/1994,100.901407
5/1/1994,101.0135782
6/1/1994,101.0883227
7/1/1994,101.1079045
8/1/1994,101.127162
9/1/1994,101.1911089
10/1/1994,101.2109809
11/1/1994,101.1096802
12/1/1994,100.8856597
1/1/1995,100.6723451
2/1/1995,100.3130446
3/1/1995,99.8464708
4/1/1995,99.38444286
5/1/1995,98.95028756
6/1/1995,98.8152328
7/1/1995,98.92748694
8/1/1995,98.87978093
9/1/1995,98.80219011
10/1/1995,98.65603323
11/1/1995,98.52085412
12/1/1995,98.44743145
1/1/1996,98.4254451
2/1/1996,98.51971613
3/1/1996,98.74561956
4/1/1996,99.05856963
5/1/1996,99.33750724
6/1/1996,99.5744878
7/1/1996,99.5538655
8/1/1996,99.55757146
9/1/1996,99.56911177
10/1/1996,99.66770416
11/1/1996,99.91204222
12/1/1996,100.1160685
1/1/1997,100.1281137
2/1/1997,100.0875299
3/1/1997,100.1194982
4/1/1997,100.2290393
5/1/1997,100.4156187
6/1/1997,100.5426659
7/1/1997,100.6535341
8/1/1997,100.5931828
9/1/1997,100.4836048
10/1/1997,100.49103
11/1/1997,100.4329653
12/1/1997,100.2942467
1/1/1998,100.1385302
2/1/1998,99.99574181
3/1/1998,99.87122003
4/1/1998,99.70005273
5/1/1998,99.47159889
6/1/1998,99.25408231
7/1/1998,99.1508374
8/1/1998,99.09904408
9/1/1998,99.03578998
10/1/1998,98.97080282
11/1/1998,98.92407002
12/1/1998,98.99082587
1/1/1999,99.28358889
2/1/1999,99.57225885
3/1/1999,99.7870389
4/1/1999,99.96009544
5/1/1999,100.1573517
6/1/1999,100.2844923
7/1/1999,100.308488
8/1/1999,100.4445422
9/1/1999,100.6714348
10/1/1999,100.8467374
11/1/1999,100.9405803
12/1/1999,100.9022279
1/1/2000,100.7546879
2/1/2000,100.5702463
3/1/2000,100.3876773
4/1/2000,100.2082333
5/1/2000,99.9897623
6/1/2000,99.7842737
7/1/2000,99.64232287
8/1/2000,99.44159644
9/1/2000,99.25919294
10/1/2000,99.02793315
11/1/2000,98.6768854
12/1/2000,98.15323457
1/1/2001,97.73145162
2/1/2001,97.57374671
3/1/2001,97.62837501
4/1/2001,97.72452444
5/1/2001,97.83177356
6/1/2001,98.06863754
7/1/2001,98.34405008
8/1/2001,98.53928108
9/1/2001,98.40003674
10/1/2001,98.09503552
11/1/2001,98.22961799
12/1/2001,98.64313413
1/1/2002,99.21661957
2/1/2002,99.81524383
3/1/2002,100.2173629
4/1/2002,100.3743972
5/1/2002,100.3856164
6/1/2002,100.21547
7/1/2002,99.84988122
8/1/2002,99.59202801
9/1/2002,99.46473368
10/1/2002,99.40550305
11/1/2002,99.47757307
12/1/2002,99.65693541
1/1/2003,99.59275374
2/1/2003,99.24462562
3/1/2003,98.88394694
4/1/2003,98.8348066
5/1/2003,99.10179739
6/1/2003,99.44009533
7/1/2003,99.82133681
8/1/2003,100.200016
9/1/2003,100.5091471
10/1/2003,100.9516352
11/1/2003,101.4608159
12/1/2003,101.8442615
1/1/2004,101.9865283
2/1/2004,101.9891893
